time_s,pos_x_m,pos_z_m,heading_deg,chassis_speed_mps,chassis_accel_mps2,camera_top_speed_mps,camera_top_accel_mps2,camera_top_jerk_mps3,angular_speed_degps
4.84,0.299611,0.706378,1.45394,0.433046,0.629018,0.433046,0.629019,3.52323,7.38629
4.86,0.299943,0.715308,1.31588,0.446781,0.690224,0.446781,0.690222,3.07623,6.903
4.88,0.300259,0.724533,1.18692,0.461533,0.740702,0.461533,0.740703,2.53464,6.44795
4.9,0.300559,0.73407,1.06649,0.477056,0.778869,0.477056,0.77887,1.91511,6.02165
4.92,0.300843,0.743927,0.954001,0.493078,0.803578,0.493078,0.803577,1.23943,5.62426
4.94,0.301112,0.75411,0.848902,0.509313,0.814076,0.509313,0.814076,0.527214,5.25496
4.96,0.301366,0.764616,0.750651,0.525471,0.810016,0.525471,0.810016,0.202985,4.91256
4.98,0.301604,0.775439,0.658743,0.541261,0.791497,0.541261,0.7915,0.926576,4.59542
5,0.301827,0.786564,0.572708,0.556402,0.758974,0.556402,0.758968,1.6284,4.30172
5.02,0.302035,0.797975,0.492118,0.570631,0.713352,0.570631,0.713355,2.28346,4.02951
5.04,0.302228,0.809648,0.416585,0.583713,0.655921,0.583713,0.655918,2.87579,3.77668
5.06,0.302406,0.821555,0.34576,0.595443,0.588374,0.595443,0.588374,3.38246,3.54122
5.08,0.302568,0.833668,0.279336,0.605661,0.512816,0.605661,0.512818,3.78484,3.3212
5.1,0.302717,0.845952,0.217041,0.614256,0.43177,0.614256,0.431771,4.0622,3.11477
5.12,0.302851,0.858374,0.158635,0.621174,0.348131,0.621174,0.348129,4.19599,2.92032
5.14,0.302972,0.870902,0.103905,0.626428,0.265265,0.626427,0.265245,4.16541,2.73649
5.16,0.303079,0.883504,0.0526636,0.630103,0.186966,0.630103,0.186988,3.9482,2.56206
5.18,0.303174,0.896151,0.0047392,0.632366,0.117708,0.632366,0.117711,3.53193,2.39622
5.2,0.303257,0.90882,-0.0400263,0.633475,0.0631026,0.633475,0.0631007,2.89124,2.23828
5.22,0.303329,0.921496,-0.0817846,0.633779,0.031964,0.633779,0.0319643,2.01718,2.08792
5.24,0.30339,0.934165,-0.120681,0.633488,0.0300115,0.633488,0.0300128,1.49021,1.94483
5.26,0.303441,0.946815,-0.156847,0.632497,0.0551902,0.632497,0.0551911,1.75166,1.80827
5.28,0.303484,0.959428,-0.1904,0.630638,0.0956351,0.630638,0.0956357,2.17514,1.67767
5.3,0.303517,0.971981,-0.221446,0.627689,0.148906,0.627689,0.148906,2.72853,1.55229
5.32,0.303543,0.98445,-0.250077,0.623452,0.212682,0.623452,0.212685,3.22162,1.43158
5.34,0.303563,0.996806,-0.276377,0.617765,0.284842,0.617765,0.284839,3.62611,1.315
5.36,0.303576,1.00902,-0.300422,0.610522,0.362444,0.610522,0.362444,3.89148,1.20224
5.38,0.303584,1.02105,-0.322283,0.601676,0.442501,0.601676,0.4425,4.01025,1.09302
5.4,0.303587,1.03287,-0.342028,0.591239,0.521959,0.591239,0.521944,3.97733,0.987262
5.42,0.303586,1.04446,-0.359727,0.579281,0.597956,0.579281,0.597977,3.80539,0.884958
